transact_id,transact_type,transact_sub_type,transact_date,money,note
0,Income,Full-time Job,2024-01-26,800,
1,Expense,Groceries,2024-01-27,80,
2,Expense,Bills,2024-01-27,75,
3,Expense,Leisure,2024-01-27,7,movie
4,Income,Freelancing,2024-01-31,45,simple python script
5,Expense,Groceries,2024-02-03,88,
6,Expense,Groceries,2024-02-10,85,
7,Expense,Groceries,2024-02-17,82,
8,Expense,Leisure,2024-02-17,15,kenny's
9,Expense,Groceries,2024-02-24,88,
10,Income,Full-time Job,2024-02-26,800,
11,Expense,Bills,2024-02-27,78,
12,Income,Freelancing,2024-02-29,35,simple python script
13,Expense,Groceries,2024-03-02,84,
14,Expense,Leisure,2024-03-03,72,Rizal trip
15,Expense,Groceries,2024-03-09,88,
16,Expense,Groceries,2024-03-16,95,
17,Expense,Groceries,2024-03-23,84,
18,Income,Full-time Job,2024-03-26,800,
19,Expense,Bills,2024-03-27,76,
20,Expense,Groceries,2024-03-30,88,
21,Income,Freelancing,2024-03-31,90,various python scripts
22,Expense,Groceries,2024-04-06,85,
23,Expense,Groceries,2024-04-13,88,
24,Expense,Leisure,2024-04-13,25,starbucks
25,Expense,Groceries,2024-04-20,80,
26,Income,Full-time Job,2024-04-26,800,
27,Expense,Groceries,2024-04-27,89,
28,Expense,Leisure,2024-04-28,126,BGC trip
29,Income,Freelancing,2024-04-30,80,python - web scraping
30,Income,Full-time Job,2023-12-20,120,Bonus
31,Income,Full-time Job,2023-12-20,800,
32,Expense,Groceries,2024-01-20,81,
33,Expense,Groceries,2024-01-13,82,
34,Expense,Groceries,2024-01-06,78,
35,Expense,Groceries,2023-12-23,100,For Christmas and New Year
36,Expense,Bills,2023-12-21,75,
37,Expense,Groceries,2023-12-30,79,
38,Expense,Groceries,2023-12-16,78,
39,Expense,Leisure,2023-12-17,25,Nuvali
40,Expense,Groceries,2023-12-09,79,
41,Expense,Groceries,2023-12-02,68,
42,Expense,Bills,2023-11-26,74,
43,Expense,Groceries,2023-11-26,76,
44,Income,Full-time Job,2023-11-26,800,
45,Income,Freelancing,2023-11-30,65,python data cleaning
46,Expense,Groceries,2023-11-18,78,
47,Expense,Groceries,2023-11-11,69,
48,Expense,Leisure,2023-11-12,18,foods and drinks
49,Expense,Groceries,2023-11-04,72,
50,Income,Freelancing,2023-10-31,25,python script
52,Expense,Groceries,2023-10-28,76,
53,Income,Full-time Job,2023-10-26,800,
54,Income,Full-time Job,2023-09-26,800,
55,Income,Freelancing,2023-09-30,31,python scripts
56,Expense,Bills,2023-10-26,72,
57,Expense,Groceries,2023-10-21,76,
58,Expense,Groceries,2023-10-14,74,
59,Expense,Groceries,2023-10-07,76,
60,Expense,Leisure,2023-10-08,14,foods and drinks
61,Expense,Bills,2023-09-26,71,
62,Expense,Groceries,2023-09-30,76,
63,Expense,Groceries,2023-09-23,74,
64,Expense,Groceries,2023-09-16,71,
65,Expense,Groceries,2023-09-09,73,
66,Expense,Groceries,2023-09-02,74,
67,Expense,Leisure,2023-09-03,16,foods and drinks
68,Income,Freelancing,2023-08-31,34,python scripts
69,Income,Full-time Job,2023-08-26,800,
70,Expense,Groceries,2023-08-26,74,
71,Expense,Bills,2023-08-26,67,
72,Expense,Groceries,2023-08-19,71,
73,Expense,Groceries,2023-08-12,64,
74,Expense,Groceries,2023-08-05,75,
75,Income,Freelancing,2023-07-31,16,python scripts
76,Income,Full-time Job,2023-07-26,750,
77,Expense,Bills,2023-07-26,68,
78,Expense,Groceries,2023-07-29,72,
79,Expense,Leisure,2023-07-30,15,foods and drinks
80,Expense,Groceries,2023-07-22,71,
81,Expense,Groceries,2023-07-15,68,
82,Expense,Groceries,2023-07-08,65,
83,Expense,Groceries,2023-07-01,71,
84,Income,Freelancing,2023-06-30,120,python web scraping and data cleaning
85,Income,Full-time Job,2023-06-26,750,
86,Expense,Bills,2023-06-26,73,
87,Expense,Groceries,2023-06-24,71,
88,Expense,Groceries,2023-06-17,75,
89,Expense,Groceries,2023-06-10,69,
90,Expense,Groceries,2023-06-03,78,
91,Expense,Leisure,2023-06-04,25,foods and drinks
92,Income,Freelancing,2023-05-31,35,python scripts
93,Income,Full-time Job,2023-05-26,750,
94,Expense,Bills,2023-05-26,78,
95,Expense,Groceries,2023-05-27,59,
96,Expense,Groceries,2023-05-20,81,
97,Expense,Leisure,2023-05-13,65,bday - batangas
98,Expense,Groceries,2023-05-13,68,
99,Expense,Groceries,2023-05-06,71,
100,Income,Freelancing,2023-04-30,40,python scripts
101,Income,Full-time Job,2023-04-26,750,
102,Expense,Bills,2023-04-26,71,
103,Expense,Groceries,2023-04-29,69,
104,Expense,Groceries,2023-04-22,76,
105,Expense,Groceries,2023-04-15,81,
106,Expense,Groceries,2023-04-08,65,
107,Expense,Groceries,2023-04-01,74,
108,Expense,Leisure,2023-04-02,15,foods and drinks
109,Income,Freelancing,2023-03-31,400,python web scraping and data cleaning
110,Income,Full-time Job,2023-03-26,750,
111,Expense,Bills,2023-03-26,74,
112,Expense,Groceries,2023-03-25,78,
113,Expense,Groceries,2023-03-18,71,
114,Expense,Groceries,2023-03-11,79,
115,Expense,Groceries,2023-03-04,62,
116,Expense,Leisure,2023-03-05,12,foods and drinks
117,Income,Freelancing,2023-02-28,65,python scripts
118,Income,Full-time Job,2023-02-26,750,
119,Expense,Bills,2023-02-26,76,
120,Expense,Groceries,2023-02-25,76,
121,Expense,Groceries,2023-02-18,68,
122,Expense,Groceries,2023-02-11,73,
123,Expense,Groceries,2023-02-04,74,
124,Expense,Leisure,2023-02-05,24,foods and drinks
125,Income,Freelancing,2023-01-31,150,python web scraping and data cleaning
126,Income,Full-time Job,2023-01-26,750,
127,Expense,Bills,2023-01-26,65,
128,Expense,Groceries,2023-01-28,76,
129,Expense,Groceries,2023-01-21,71,
130,Expense,Groceries,2023-01-14,69,
131,Expense,Groceries,2023-01-07,78,
132,Income,Freelancing,2022-12-31,95,python scripts
133,Income,Full-time Job,2022-12-20,750,
134,Income,Full-time Job,2022-12-20,100,Bonus
135,Expense,Bills,2022-12-26,65,
136,Expense,Groceries,2022-12-23,140,For Christmas and New Year
137,Expense,Leisure,2022-12-29,215,Cebu trip
138,Expense,Groceries,2022-12-17,75,
139,Expense,Groceries,2022-12-10,72,
140,Expense,Groceries,2022-12-03,71,
141,Income,Freelancing,2022-11-30,25,python scripts
142,Income,Full-time Job,2022-11-26,750,
143,Expense,Bills,2022-11-26,73,
144,Expense,Groceries,2022-11-26,78,
145,Expense,Groceries,2022-11-19,65,
146,Expense,Groceries,2022-11-12,71,
147,Expense,Groceries,2022-11-05,74,
148,Income,Freelancing,2022-10-31,67,python scripts
149,Income,Full-time Job,2022-10-26,750,
150,Expense,Bills,2022-10-26,73,
151,Expense,Groceries,2022-10-29,78,
152,Expense,Groceries,2022-10-22,71,
153,Expense,Groceries,2022-10-15,73,
154,Expense,Groceries,2022-10-08,72,
155,Expense,Groceries,2022-10-01,67,
156,Expense,Leisure,2022-10-02,26,foods and drinks
157,Income,Freelancing,2022-09-30,250,python web scraping and data cleaning
158,Income,Full-time Job,2022-09-26,750,
159,Expense,Bills,2022-09-26,61,
160,Expense,Groceries,2022-09-24,67,
161,Expense,Groceries,2022-09-17,64,
162,Expense,Groceries,2022-09-10,65,
163,Expense,Groceries,2022-09-03,63,
164,Expense,Leisure,2022-09-11,26,foods and drinks
165,Income,Freelancing,2022-08-31,310,python web scraping and data cleaning
166,Income,Full-time Job,2022-08-26,750,
167,Expense,Bills,2022-08-26,64,
168,Expense,Groceries,2022-08-27,61,
169,Expense,Groceries,2022-08-20,64,
170,Expense,Groceries,2022-08-13,61,
171,Expense,Groceries,2022-08-06,64,
172,Expense,Leisure,2022-08-14,24,foods and drinks
173,Income,Freelancing,2022-07-31,43,python scripts
174,Income,Full-time Job,2022-07-26,750,
175,Expense,Bills,2022-07-26,65,
176,Expense,Groceries,2022-07-30,68,
177,Expense,Groceries,2022-07-23,62,
178,Expense,Groceries,2022-07-16,59,
179,Expense,Groceries,2022-07-09,64,
180,Expense,Groceries,2022-07-02,65,
181,Expense,Leisure,2022-07-17,26,foods and drinks
182,Income,Freelancing,2022-06-30,95,python scripts
183,Income,Full-time Job,2022-06-26,750,
184,Expense,Bills,2022-06-26,66,
185,Expense,Groceries,2022-06-25,63,
186,Expense,Groceries,2022-06-18,67,
187,Expense,Groceries,2022-06-11,62,
188,Expense,Groceries,2022-06-04,66,
189,Expense,Leisure,2022-06-19,25,foods and drinks
190,Income,Freelancing,2022-05-31,300,python web scraping and data cleaning
191,Income,Full-time Job,2022-05-26,750,
192,Expense,Bills,2022-05-26,64,
193,Expense,Groceries,2022-05-28,61,
194,Expense,Groceries,2022-05-21,63,
195,Expense,Groceries,2022-05-14,180,bday - pampanga
196,Expense,Groceries,2022-05-07,61,
197,Expense,Leisure,2022-05-14,200,bday - pampanga
198,Income,Freelancing,2022-04-30,800,python gui tkinter
199,Income,Full-time Job,2022-04-26,750,
200,Expense,Bills,2022-04-26,59,
201,Expense,Groceries,2022-04-30,65,
202,Expense,Groceries,2022-04-23,62,
203,Expense,Groceries,2022-04-16,64,
204,Expense,Groceries,2022-04-09,63,
205,Expense,Groceries,2022-04-02,66,
206,Expense,Leisure,2022-04-03,25,foods and drinks
207,Income,Freelancing,2022-03-31,60,python scripts
208,Income,Full-time Job,2022-03-26,750,
209,Expense,Bills,2022-03-26,64,
210,Expense,Groceries,2022-03-26,69,
211,Expense,Groceries,2022-03-19,59,
212,Expense,Groceries,2022-03-12,61,
213,Expense,Groceries,2022-03-05,67,
214,Expense,Leisure,2022-03-20,35,foods and drinks
215,Income,Freelancing,2022-02-28,15,python scripts
216,Income,Full-time Job,2022-02-26,750,
217,Expense,Bills,2022-02-26,57,
218,Expense,Groceries,2022-02-26,59,
219,Expense,Groceries,2022-02-19,65,
220,Expense,Groceries,2022-02-12,54,
221,Expense,Groceries,2022-02-05,68,
222,Expense,Leisure,2022-02-27,26,foods and drinks
223,Income,Full-time Job,2022-01-26,750,
224,Expense,Bills,2022-01-26,54,
225,Expense,Groceries,2022-01-29,61,
